,-0..10
-9.46,-1.10
-9.89,-1.10
-10.31,-1.10
-10.00,-0.55
-10.09,-1.10
-9.83,-1.10
-10.06,-1.10
-10.14,-1.10
-10.20,-1.10
-10.23,-0.55
-10.06,-1.10
-10.37,-1.10
-10.63,-1.10
-10.09,-1.10
-9.80,-1.10
-10.43,-1.65
-10.49,-1.10
-10.34,-0.55
-10.14,-1.10
-9.97,-1.10
-10.23,-1.10
-10.31,-1.10
-10.49,-1.65
-10.23,-1.10
-9.97,-1.10
-10.03,-1.10
-10.00,-1.10
-10.31,-0.55
-9.54,-1.10
-9.97,-1.10
-10.34,-1.10
-9.97,-1.10
-10.14,-1.10
-9.94,-1.10
-9.94,-0.55
-10.46,-0.55
-10.11,-1.10
-10.23,-1.10
-10.14,-1.10
-10.14,-1.10
-10.20,-1.10
-9.86,-1.10
-10.17,-1.10
-10.23,-1.10
-9.77,-1.10
-10.09,-1.65
-10.00,-1.65
-9.71,-1.10
-9.80,-1.65
-9.97,-0.55
-9.43,-1.10
-9.54,-0.55
-9.43,-0.55
-8.83,-1.10
-9.51,-1.10
-8.74,-1.65
-7.80,-1.10
-8.23,-1.65
-7.66,-1.10
-7.40,-1.10
-7.00,-1.10
-7.17,-1.10
-4.31,-1.10
-2.66,0.00
8.80,0.55
16.89,1.65
15.94,1.10
16.29,1.10
17.06,1.10
16.74,1.10
16.06,1.10
16.09,1.10
16.71,1.65
16.34,1.65
16.60,1.10
16.34,1.10
16.29,1.10
15.94,1.10
16.54,1.10
17.00,1.10
16.51,1.65
16.63,1.65
16.26,1.10
15.97,1.10
15.97,1.10
16.80,1.65
16.37,1.10
16.66,1.10
16.26,1.65
16.31,1.65
16.46,1.65
16.00,1.65
16.23,1.10
16.40,1.65
15.94,1.65
16.23,1.65
16.03,1.10
15.89,1.10
15.94,1.65
15.80,1.65
15.40,1.65
15.97,1.65
15.74,1.65
16.17,1.65
15.97,1.65
15.34,1.65
16.00,1.65
16.00,1.65
15.83,2.19
15.57,1.65
15.54,1.65
15.40,1.65
15.89,1.65
16.23,1.65
15.86,1.65
15.91,1.65
16.37,1.65
15.43,1.65
15.57,2.19
14.89,2.19
14.51,2.19
13.77,2.19
13.63,2.74
13.80,2.74
13.60,2.74
14.03,2.19
12.63,2.74
12.57,2.74
12.83,3.29
12.43,3.29
10.37,4.39
8.54,4.94
3.00,4.39
-21.20,0.55
-17.03,0.00
-14.09,-0.55
-13.69,-0.55
-13.31,-1.10
-12.83,-1.10
-12.43,-0.55
-12.06,-1.10
-12.03,-0.55
-12.11,-1.10
-11.91,-1.10
-11.86,-0.55
-11.63,-1.65
-11.74,-1.10
-11.83,-1.65
-11.66,-1.65
-11.69,-1.10
-12.09,-1.10
-11.63,-1.10
-12.11,-1.65
-11.80,-1.65
-11.74,-1.65
-11.94,-1.10
-11.57,-1.65
-11.71,-1.65
-12.17,-1.65
-11.74,-1.10
-11.69,-1.65
-11.69,-1.10
-11.91,-1.10
-11.91,-1.10
-11.89,-1.10
-11.51,-1.10
-11.74,-1.10
-11.74,-1.10
-12.31,-1.10
-12.20,-1.10
-11.94,-1.10
-11.74,-1.10
-11.94,-1.10
-12.23,-1.65
-11.71,-1.65
-11.89,-1.65
-12.09,-1.65
-12.00,-1.65
-12.54,-1.10
-11.91,-1.10
-12.46,-1.65
-12.03,-1.10
-12.26,-1.10
-12.14,-1.10
-12.23,-1.10
-11.63,-1.10
-11.57,-1.10
-12.40,-1.10
-12.09,-1.65
-12.34,-0.55
-12.00,-0.55
-11.86,-1.65
-12.11,-1.10
-12.11,-1.65
-11.80,-1.10
-12.09,-1.10
-12.29,-1.65
-12.11,-1.65
-12.06,-1.10
-11.83,-1.65
-11.86,-1.10
-11.66,-1.10
-11.86,-1.10
-12.37,-1.65
-12.40,-1.65
-11.51,-1.65
-11.80,-1.65
-11.69,-1.65
-12.00,-1.10
-11.31,-1.10
-11.77,-1.10
-11.31,-1.10
-11.26,-1.10
-11.23,-1.65
-11.09,-1.10
-10.46,-1.10
-10.29,-1.65
-10.63,-1.10
-6.80,-2.19
-4.66,-1.10
-3.46,-1.10
5.94,-1.10
20.26,1.65
19.00,1.65
19.23,1.65
19.40,1.65
19.09,2.19
19.46,1.65
19.34,2.19
19.06,1.65
19.14,1.65
18.46,1.65
18.66,1.65
19.40,2.19
19.46,2.19
18.66,1.65
18.97,2.19
19.43,1.65
19.09,1.65
18.80,1.65
18.40,1.65
18.80,1.65
19.34,1.65
18.94,1.65
18.97,1.65
18.60,2.19
19.09,1.65
18.91,2.19
19.11,2.19
18.37,1.65
18.11,2.19
18.71,2.19
18.69,1.65
18.26,1.65
18.14,2.19
17.60,2.19
17.89,2.74
17.66,2.19
18.09,1.65
17.71,1.65
17.71,2.19
18.54,2.19
17.71,2.74
18.20,2.19
17.57,1.65
18.00,1.65
17.49,2.19
17.06,1.65
17.09,2.74
16.89,2.19
15.89,2.74
15.69,2.74
15.03,2.74
14.37,2.19
14.00,2.19
15.69,2.74
14.20,2.74
15.03,3.29
13.94,3.84
12.86,4.39
10.26,3.84
8.37,4.39
-22.57,1.10
-17.60,0.55
-15.71,-0.55
-13.97,-0.55
-13.46,-0.55
-13.11,-1.10
-12.91,-1.10
-12.97,-1.65
-12.57,-1.10
-12.63,-1.10
-12.17,-1.65
-12.03,-1.10
-11.91,-1.10
-12.26,-1.65
-11.77,-1.10
-12.00,-1.65
-12.00,-1.10
-11.94,-1.10
-11.86,-1.10
-11.71,-1.10
-12.11,-1.65
-11.86,-1.10
-11.37,-1.10
-12.03,-1.65
-11.86,-1.10
-11.83,-1.10
-11.63,-1.65
-11.37,-1.10
-11.26,-1.10
-11.43,-1.10
-11.20,-1.10
-11.71,-1.10
-11.40,-1.10
-11.43,-1.65
-11.80,-1.65
-11.66,-1.10
-11.80,-1.10
-11.49,-1.10
-11.66,-1.10
-11.54,-1.10
-11.54,-1.10
-11.71,-0.55
-11.40,-1.10
-11.63,-1.10
-10.86,-1.10
-11.43,-1.10
-11.57,-1.10
-11.57,-1.10
-11.66,-1.10
-11.26,-1.10
-11.91,-1.10
-11.31,-1.10
-11.60,-0.55
-11.37,-1.10
-11.11,-1.10
-11.17,-1.10
-11.09,-1.65
-11.63,-1.10
-10.71,-1.65
-11.20,-1.10
-11.14,-1.10
-11.23,-1.10
-11.29,-1.10
-11.09,-1.10
-10.80,-1.10
-10.74,-1.10
-10.91,-1.10
-10.89,-1.10
-10.74,-1.10
-10.51,-0.55
-10.89,-1.10
-11.00,-1.65
-11.06,-1.10
-10.57,-1.10
-10.66,-1.10
-10.77,-1.10
-10.37,-1.10
-10.49,-1.10
-10.49,-1.65
-10.57,-1.10
-9.69,-1.10
-10.29,-1.10
-10.00,-1.10
-10.29,-1.65
-9.69,-1.10
-9.91,-1.10
-9.74,-1.10
-8.97,-1.10
-8.66,-1.10
-8.34,-1.10
-5.91,-1.10
-4.51,-0.55
-2.06,-0.55
4.71,0.00
19.66,1.10
17.06,1.65
16.94,1.65
16.51,1.10
16.91,1.10
17.03,1.65
16.49,1.10
17.17,1.65
16.80,1.65
16.86,1.65
16.74,1.10
16.89,1.10
16.23,1.10
16.69,1.10
16.74,1.10
16.17,1.10
16.31,1.65
16.60,1.10
16.86,1.65
16.34,1.65
16.46,1.10
16.29,1.10
15.91,1.65
16.49,1.65
15.71,1.10
16.29,1.65
16.29,1.65
16.06,1.10
15.94,1.10
15.89,1.10
15.77,1.10
15.57,1.65
15.06,1.65
15.29,1.10
15.57,1.65
14.89,1.10
15.23,1.65
15.06,1.65
15.11,1.65
15.17,1.65
15.09,1.10
14.66,1.10
14.83,1.65
14.91,1.65
14.91,1.65
15.26,1.10
14.60,1.65
15.06,1.10
15.37,1.65
15.37,1.65
14.91,1.65
14.66,1.10
15.20,1.65
14.71,1.65
13.86,1.65
14.03,1.65
13.37,1.65
12.66,2.19
12.51,2.19
11.80,2.19
11.14,2.19
12.20,2.74
12.49,1.65
11.69,2.74
10.91,2.19
10.66,2.19
11.06,2.19
10.40,3.29
8.54,2.74
7.83,3.29
-11.57,-1.10
-15.86,0.55
-13.66,0.00
-12.83,-0.55
-11.94,-1.10
-11.51,-0.55
-11.00,-0.55
-11.11,-0.55
-10.83,-1.10
-10.97,-0.55
-10.77,-1.10
-10.51,-1.65
-10.54,-1.10
-10.40,-0.55
-10.26,-1.10
-10.74,-1.10
-10.23,-1.10
-10.43,-1.10
-10.51,-1.10
-10.37,-0.55
-10.49,-1.10
-10.26,-1.10
-10.09,-1.10
-9.94,-1.10
-9.71,-1.10
-10.06,-1.65
-10.37,-1.10
-10.23,-0.55
-10.29,-1.10
-10.14,-0.55
-9.91,-1.10
-10.40,-1.10
-10.34,-1.10
-9.49,-1.10
-10.00,-1.10
-10.00,-1.10
-9.54,-1.10
-9.97,-1.10
-10.29,-1.10
-10.14,-1.10
-10.00,-1.10
-9.91,-1.10
-10.14,-1.10
-10.20,-1.10
-10.11,-1.10
-9.89,-1.10
-9.89,-0.55
-9.80,-1.10
-9.91,-1.10
-10.40,-1.10
-10.23,-1.10
-9.94,-1.10
-10.09,-1.10
-10.26,-1.10
-10.46,-1.10
-9.94,-1.10
-10.20,-0.55
-10.03,-1.10
-10.09,-1.10
-10.11,-1.10
-10.11,-1.10
-10.06,-0.55
-9.83,-1.10
-10.09,-1.65
-9.91,-1.10
-9.91,-1.10
-9.94,-1.10
-9.89,-1.10
-10.00,-1.10
-9.71,-1.10
-9.91,-1.10
-9.71,-1.65
-10.14,-1.10
-9.91,-1.10
-9.69,-1.10
-9.37,-0.55
-9.86,-1.10
-10.09,-0.55
-10.09,-0.55
-9.71,-0.55
-9.77,-1.65
-9.46,-1.10
-9.57,-1.10
-9.69,-1.10
-9.83,-1.10
-9.66,-1.10
-9.60,-1.10
-9.31,-1.10
-9.29,-1.10
-9.29,-1.10
-9.43,-1.10
-9.20,-1.10
-8.97,-1.10
-9.26,-1.10
-9.06,-1.10
-8.46,-1.10
-8.26,-0.55
-8.20,-0.55
-7.51,-0.55
-6.89,-1.10
-5.51,-1.10
-6.20,0.00
-5.17,-1.10
-4.86,-1.10
-5.14,-0.55
0.37,-0.55
9.71,0.00
16.43,1.10
15.74,1.10
15.57,1.10
15.66,1.10
15.63,1.10
15.80,1.10
15.83,1.10
15.83,0.55
15.97,1.10
15.74,1.10
15.77,1.10
15.66,1.10
15.71,1.10
15.43,1.10
15.31,1.10
15.37,1.10
15.77,1.10
15.29,1.65
15.31,1.10
15.66,1.65
14.97,1.10
15.00,1.10
15.49,1.65
15.23,1.10
15.69,1.10
14.94,1.10
14.91,1.10
14.91,1.10
14.94,1.10
15.26,1.10
15.00,1.10
14.83,1.10
14.97,1.65
14.91,1.10
14.77,1.65
14.66,1.10
14.80,1.65
15.06,1.65
14.34,1.10
14.74,1.10
14.29,1.10
14.63,1.65
14.34,1.10
14.63,1.65
14.29,1.10
14.26,1.65
14.26,1.65
14.37,1.65
14.54,1.65
14.74,1.65
14.69,1.65
14.31,1.65
14.26,1.10
14.23,1.65
14.57,1.65
14.31,1.65
14.31,1.10
13.91,1.65
13.11,2.19
12.46,2.19
12.63,2.19
11.66,2.19
11.57,2.19
12.00,2.74
11.49,2.19
12.23,1.65
10.74,2.19
10.57,2.19
10.17,2.74
10.89,1.65
8.91,2.74
8.00,3.29
8.11,3.84
5.14,3.29
-17.11,0.55
-15.20,0.55
-13.69,0.00
-12.46,-0.55
-11.83,-0.55
-11.49,-1.10
-10.97,-0.55
-10.91,-1.10
-10.63,-0.55
-10.74,-1.10
-10.83,-1.10
-10.71,-1.10
-10.51,-1.10
-10.23,-1.10
-10.40,-1.10
-10.49,-1.10
-10.29,-1.10
-10.37,-1.10
-10.06,-0.55
-10.37,-1.10
-10.34,-1.10
-10.09,-0.55
-10.00,-1.10
-10.34,-1.10
-10.09,-0.55
-9.97,-0.55
-10.09,-1.10
-9.91,-1.10
-10.29,-1.10
-10.00,-1.10
-10.09,-1.10
-9.71,-0.55
-10.34,-0.55
-10.14,-1.10
-9.94,-1.10
-10.11,-1.10
-10.06,-1.10
-10.20,-0.55
-10.17,-0.55
-10.29,-1.10
-10.17,-1.10
-10.03,-1.10
-10.29,-1.10
-10.20,-1.10
-10.20,-1.10
-10.06,-0.55
-10.29,-1.10
-10.29,-1.10
-10.20,-1.10
-10.20,-1.10
-10.00,-0.55
-10.26,-1.10
-10.23,-1.10
-10.14,-1.10
-10.54,-0.55
-9.94,-1.10
-10.60,-1.10
-10.09,-1.10
-10.23,-1.10
-10.11,-1.10
-10.11,-1.10
-10.17,-1.10
-10.17,-1.10
-10.49,-1.10
-10.43,-1.10
-10.31,-1.10
-10.09,-1.10
-10.23,-1.10
-9.69,-1.10
-10.09,-1.10
-10.00,-0.55
-10.26,-1.10
-10.17,-0.55
-10.06,-0.55
-9.86,-1.10
-10.14,-1.65
-10.14,-1.10
-9.89,-1.10
-10.31,-1.10
-10.06,-1.10
-10.14,-1.10
-10.17,-1.65
-10.00,-1.10
-9.86,-1.10
-9.97,-0.55
-9.86,-1.10
-9.91,-1.65
-9.57,-1.10
-9.34,-1.10
-9.49,-1.10
-9.77,-1.10
-9.80,-1.65
-9.34,-1.10
-9.03,-1.10
-9.26,-1.10
-9.09,-1.10
-8.66,-1.10
-8.43,-1.10
-7.46,-1.65
-5.37,-1.65
-6.66,-0.55
-5.34,-1.10
-1.06,-1.10
4.11,0.00
19.60,0.55
17.06,1.10
16.86,1.10
16.46,1.65
16.60,1.65
16.34,1.10
16.29,1.10
16.46,1.10
17.14,1.65
16.03,1.10
16.43,1.10
16.46,1.10
16.23,1.10
15.91,1.10
15.86,1.10
16.09,1.10
16.60,1.65
15.74,1.10
16.06,1.10
16.09,1.10
16.31,1.65
16.60,1.10
16.31,1.10
15.77,1.65
16.46,1.65
16.06,1.10
15.97,1.10
16.51,1.65
16.49,1.65
16.54,1.65
15.80,1.10
15.77,1.65
15.74,1.65
16.00,1.10
16.31,2.19
15.69,1.10
16.20,1.65
15.77,1.10
15.80,1.65
15.80,1.10
15.60,1.65
16.00,1.65
15.63,1.65
15.49,1.65
15.69,1.65
15.86,1.65
15.63,1.65
15.40,1.65
16.00,1.65
16.23,1.65
16.14,1.65
15.77,1.10
15.54,1.65
14.71,2.19
14.86,2.19
13.83,2.19
13.83,1.65
13.37,1.65
12.60,2.19
12.74,2.19
13.57,2.74
13.31,2.74
11.43,2.19
12.11,3.29
13.03,2.74
11.63,2.74
9.74,3.29
7.31,3.84
7.37,3.84
4.66,3.84
-18.49,0.55
-14.91,0.00
-14.09,0.00
-13.31,-0.55
-12.46,-1.10
-12.26,-1.10
-11.66,-1.10
-11.29,-1.10
-11.63,-0.55
-11.40,-1.10
-11.31,-1.10
-11.34,-1.10
-11.14,-1.65
-11.29,-1.10
-10.91,-1.10
-11.17,-1.10
-11.23,-1.10
-11.03,-1.10
-11.06,-1.10
-11.06,-1.65
-10.60,-1.10
-11.20,-1.65
-10.86,-1.10
-10.86,-1.10
-11.09,-1.10
-10.86,-1.10
-10.86,-1.10
-11.03,-1.10
-10.74,-0.55
-10.77,-1.65
-10.83,-1.10
-11.00,-1.65
-10.66,-1.10
-10.63,-1.10
-10.97,-1.10
-10.86,-1.10
-10.97,-1.10
-11.51,-1.65
-10.94,-1.10
-10.71,-1.10
-11.23,-1.10
-10.86,-1.10
-10.91,-1.10
-11.00,-1.10
-11.14,-1.10
-11.14,-1.10
-11.03,-1.10
-10.83,-1.10
-11.03,-1.10
-11.29,-1.10
-11.43,-1.10
-11.11,-0.55
-10.43,-1.10
-11.26,-0.55
-11.14,-1.10
-10.60,-1.10
-11.00,-1.10
-10.91,-1.10
-10.74,-1.65
-10.89,-1.10
-10.97,-1.10
-10.97,-1.10
-10.77,-1.10
-10.51,-0.55
-11.00,-1.10
-10.80,-1.10
-10.80,-1.10
-10.97,-1.10
-11.03,-1.65
-10.80,-1.10
-10.71,-1.10
-11.00,-1.10
-11.11,-1.10
-10.89,-1.10
-11.03,-1.10
-10.66,-1.65
-10.86,-1.10
-10.54,-1.10
-10.77,-1.10
-10.49,-1.10
-10.74,-1.65
-10.89,-1.10
-10.51,-1.10
-10.23,-1.10
-10.54,-1.10
-10.17,-1.10
-9.97,-1.10
-10.03,-1.10
-9.51,-1.65
-9.74,-1.10
-8.77,-1.10
-9.51,-1.10
-7.40,-0.55
-6.57,-0.55
-4.37,-1.65
-0.49,-1.10
8.66,0.55
18.06,1.65
16.77,1.65
16.89,1.65
17.09,1.10
17.83,1.10
17.06,1.10
17.43,1.65
17.23,1.65
17.37,1.10
17.11,1.10
17.46,1.65
16.89,1.10
17.17,1.65
17.23,1.65
16.77,1.10
17.31,1.65
17.03,1.10
17.11,1.65
16.60,1.65
16.49,1.65
17.37,1.65
16.91,1.65
16.86,1.65
17.26,1.65
16.80,1.10
17.46,1.65
17.54,1.65
17.06,1.65
16.63,1.65
16.94,1.10
16.31,1.65
16.74,1.65
16.71,1.65
17.00,1.65
17.09,1.65
16.20,1.65
16.20,1.65
16.83,2.19
16.17,1.10
16.46,1.65
15.86,1.10
16.06,1.65
16.20,1.65
16.09,1.65
15.66,1.65
16.37,1.65
16.49,1.65
16.29,2.19
16.94,1.65
16.06,1.65
15.86,1.65
15.29,1.65
14.89,2.19
14.60,1.65
14.83,1.65
13.66,2.74
13.57,2.74
12.54,2.74
14.37,2.74
12.89,2.74
12.89,2.74
12.51,2.74
11.86,2.74
11.54,3.84
9.46,3.84
-23.46,1.10
-15.26,0.00
-14.31,0.00
-13.31,-0.55
-12.74,-1.10
-12.69,-1.10
-12.14,-1.65
-11.91,-1.10
-11.69,-1.10
-11.77,-1.65
-11.46,-1.10
-11.34,-1.10
-11.20,-1.10
-11.37,-1.10
-11.31,-1.65
-11.29,-1.65
-11.43,-1.10
-11.26,-1.10
-11.29,-1.10
-11.23,-1.65
-11.09,-1.10
-10.89,-1.10
-11.29,-0.55
-11.06,-1.10
-11.11,-1.10
-11.14,-1.10
-10.91,-1.10
-10.66,-1.10
-10.89,-1.10
-11.17,-1.10
-10.80,-1.10
-10.71,-1.10
-11.00,-0.55
-10.74,-1.65
-11.09,-1.10
-10.80,-1.10
-11.26,-1.10
-10.69,-1.10
-11.06,-0.55
-10.77,-1.10
-10.60,-1.10
-11.31,-1.10
-10.89,-1.10
-11.51,-1.10
-10.71,-0.55
-10.89,-1.10
-10.91,-1.10
-11.03,-1.10
-11.09,-1.10
-10.91,-1.10
-11.31,-1.10
-11.03,-1.10
-11.06,-1.10
-10.80,-1.10
-11.00,-0.55
-11.31,-1.10
-11.03,-1.10
-10.97,-0.55
-10.91,-1.10
-11.03,-1.65
-10.69,-0.55
-10.37,-1.10
-11.06,-1.10
-10.83,-1.10
-10.83,-1.10
-10.89,-1.10
-10.26,-1.10
-11.03,-1.65
-10.77,-1.10
-10.80,-1.10
-10.29,-1.10
-10.63,-1.10
-10.80,-1.10
-10.60,-1.10
-10.60,-1.10
-10.60,-1.10
-10.49,-1.10
-10.40,-1.10
-10.77,-1.65
-10.49,-1.10
-10.31,-1.10
-10.34,-1.65
-9.86,-1.10
-9.83,-1.10
-10.00,-1.10
-9.97,-1.10
-10.14,-1.10
-9.94,-1.10
-9.26,-1.65
-9.57,-1.65
-8.77,-1.65
-8.20,-1.10
-7.86,-1.65
-7.94,-1.10
-7.40,-1.10
-3.89,-1.10
2.63,0.00
20.40,1.10
16.94,1.65
17.29,1.65
17.03,1.65
17.29,1.65
16.74,1.10
17.29,1.10
16.49,1.65
16.91,1.10
16.83,1.10
16.89,1.65
17.11,1.65
17.03,1.65
17.31,1.65
16.69,1.10
16.91,1.10
16.66,1.10
16.63,1.10
15.91,1.10
17.17,1.65
16.51,1.10
17.06,1.65
16.97,1.10
16.54,1.65
16.51,1.65
16.43,1.10
16.34,1.10
16.49,1.10
16.29,1.65
16.23,1.65
15.89,1.65
16.40,1.65
16.29,2.19
16.20,1.10
16.09,2.19
15.86,1.10
15.74,1.10
15.63,1.65
15.74,1.65
15.74,1.65
15.66,1.65
15.74,1.65
15.40,1.10
15.14,1.65
16.03,1.65
15.51,1.65
15.91,1.65
15.83,1.65
15.74,1.65
15.60,1.65
15.54,1.10
15.40,1.65
15.26,1.65
14.74,1.65
13.91,2.19
14.06,2.19
14.09,2.19
12.69,2.19
12.37,2.19
12.20,2.74
13.83,2.74
12.34,2.74
12.37,2.19
10.89,2.74
11.37,2.74
12.71,3.29
9.89,3.29
8.49,4.39
5.91,4.39
4.66,4.94
3.71,3.84
-17.26,1.10
-14.51,0.00
-13.83,-0.55
-12.83,-1.10
-12.06,-0.55
-11.57,-0.55
-11.51,-1.10
-11.37,-1.10
-11.17,-1.10
-11.20,-1.10
-11.17,-0.55
-10.97,-1.10
-11.20,-1.10
-10.97,-1.10
-11.17,-1.10
-10.71,-1.65
-10.66,-1.10
-10.54,-1.10
-11.17,-1.10
-10.54,-1.65
-10.43,-1.10
-10.89,-1.65
-10.29,-1.10
-10.66,-1.10
-10.77,-1.10
-10.66,-1.65
-10.46,-1.10
-10.57,-0.55
-10.29,-1.10
-10.11,-1.65
-10.71,-1.10
-10.51,-1.10
-10.49,-0.55
-10.31,-1.10
-10.49,-1.10
-10.66,-1.10
-10.34,-1.10
-10.66,-1.10
-10.60,-1.10
-10.29,-1.10
-10.43,-1.10
-10.46,-0.55
-10.31,-1.10
-10.51,-0.55
-10.60,-1.10
-10.74,-1.10
-10.43,-1.10
-10.57,-1.10
-10.51,-1.10
-10.60,-1.10
-10.29,-0.55
-10.46,-1.10
-10.74,-1.10
-10.74,-1.10
-10.57,-1.10
-10.80,-1.10
-10.57,-1.10
-10.26,-1.10
-10.51,-1.10
-10.60,-1.10
-10.54,-1.10
-10.57,-1.10
-10.66,-1.10
-10.51,-1.65
-10.60,-1.10
-10.11,-1.10
-10.37,-1.10
-10.34,-1.10
-10.71,-1.65
-10.51,-1.10
-10.43,-0.55
-10.43,-1.10
-9.94,-1.10
-10.43,-1.10
-10.29,-1.10
-10.46,-1.10
-10.40,-0.55
-10.37,-1.65
-10.23,-1.65
-10.03,-1.10
-10.17,-1.10
-10.17,-0.55
-10.00,-1.10
-10.09,-0.55
-10.09,-1.10
-10.17,-1.10
-10.03,-1.10
-9.60,-1.10
-9.63,-1.10
-9.51,-1.65
-9.31,-1.10
-9.23,-1.65
-8.83,-1.10
-8.83,-1.65
-8.43,-0.55
-6.89,-1.10
-5.54,-0.55
-5.74,-1.10
-2.66,-0.55
4.94,0.00
17.97,1.10
16.26,1.10
16.94,1.10
16.86,1.10
17.00,1.10
17.11,1.10
16.60,1.10
16.46,1.10
16.77,1.65
16.17,1.65
16.69,1.65
15.97,1.10
16.31,1.10
16.54,1.65
16.29,1.10
16.26,1.10
16.11,1.10
16.06,1.10
16.63,1.10
16.63,1.10
15.83,1.65
16.51,1.10
15.83,1.10
15.89,1.10
16.57,1.65
16.69,1.10
16.29,1.65
15.86,1.10
16.06,1.10
16.40,1.65
15.66,1.65
15.71,1.10
15.86,1.65
15.74,1.65
15.74,1.65
15.63,1.10
15.51,1.65
15.49,1.65
15.60,1.65
15.49,1.65
15.23,1.65
15.71,1.65
15.71,1.65
15.29,1.65
15.91,1.65
15.37,1.65
15.86,1.65
15.77,1.65
15.63,1.65
15.74,1.65
15.60,1.65
16.23,1.65
15.00,1.65
14.43,1.65
14.66,2.19
14.74,2.19
13.43,2.19
13.00,2.19
12.23,2.74
13.09,2.19
13.14,2.19
13.26,2.19
12.63,2.19
11.03,2.74
11.51,2.74
11.17,2.74
9.97,2.74
-18.80,2.19
-15.43,0.00
-14.06,-0.55
-12.94,-1.10
-12.46,-0.55
-11.91,-1.10
-11.49,-0.55
-11.40,-0.55
-11.20,-1.10
-11.37,-0.55
-11.31,-1.10
-10.77,-0.55
-10.69,-1.10
-10.94,-1.10
-10.94,-1.10
-11.37,-1.10
-10.66,-1.10
-11.06,-1.10
-10.51,-0.55
-10.89,-1.10
-10.77,-1.10
-11.06,-1.10
-10.77,-0.55
-10.71,-1.10
-10.63,-1.10
-10.54,-1.10
-10.26,-0.55
-10.77,-1.10
-10.80,-1.65
-10.66,-1.10
-10.74,-1.10
-10.60,-1.65
-10.51,-1.10
-10.29,-1.10
-10.60,-1.65
-10.60,-0.55
-10.46,-1.10
-10.49,-1.10
-10.63,-1.65
-10.49,-1.10
-11.00,-1.10
-10.20,-0.55
-10.69,-1.10
-10.49,-1.10
-10.66,-0.55
-10.43,-1.10
-10.80,-1.10
-10.74,-1.10
-10.51,-0.55
-10.80,-1.10
-10.86,-0.55
-10.89,-1.10
-10.94,-0.55
-11.03,-1.10
-10.43,-1.10
-10.71,-0.55
-10.49,-1.10
-10.74,-0.55
-10.80,-0.55
-10.89,-1.10
-11.11,-1.10
-10.69,-1.10
-10.66,-1.10
-10.46,-1.10
-10.91,-1.10
-10.83,-1.10
