,1.10.97
-32.06,21.94
-32.17,22.49
-31.20,24.13
-30.83,21.94
-31.60,25.78
-30.77,26.33
-29.20,27.42
-27.26,25.23
-26.77,23.59
9.51,14.26
27.23,12.07
25.31,12.62
25.54,12.62
21.09,10.97
23.66,10.42
20.14,11.52
19.20,11.52
20.37,11.52
21.66,10.97
20.00,10.97
22.14,10.42
18.40,9.32
17.83,12.07
17.74,10.42
18.49,10.97
16.83,9.87
17.29,11.52
15.26,8.78
17.86,9.87
16.43,10.97
16.91,9.87
14.29,10.42
16.43,9.32
14.83,10.42
17.40,9.32
15.17,9.87
12.91,9.87
14.63,9.87
15.37,10.97
14.06,10.97
15.26,8.78
13.97,10.42
11.03,10.97
13.63,10.42
10.83,10.97
13.11,11.52
3.40,11.52
-17.17,13.16
-34.74,20.29
-34.20,20.29
-34.17,21.94
-33.69,21.94
-34.09,20.84
-34.60,20.84
-34.14,22.49
-34.63,21.94
-33.77,21.94
-33.94,23.59
-33.00,22.49
-33.17,22.49
-33.57,23.59
-33.57,24.68
-32.60,24.13
-32.89,21.39
-32.14,25.23
-31.74,23.59
-32.94,25.23
-31.91,26.33
-31.86,25.78
-28.89,25.78
-28.37,23.04
-23.69,26.88
-22.86,23.59
30.97,14.26
27.14,12.07
23.40,12.07
21.97,12.07
23.74,12.07
22.97,11.52
21.60,10.97
21.80,10.42
21.03,10.97
20.20,10.42
18.03,10.97
19.37,10.97
18.63,10.42
19.74,10.42
17.60,10.97
18.09,9.87
18.54,10.42
16.49,9.87
16.69,9.32
16.00,9.87
17.54,9.32
16.26,10.97
16.11,10.97
15.83,9.87
16.34,9.87
16.11,9.87
14.86,10.97
14.63,8.78
14.34,8.78
13.46,9.32
15.74,9.32
15.74,9.32
13.17,10.42
11.66,11.52
13.20,8.23
9.63,8.78
10.77,10.97
8.86,9.87
13.23,11.52
12.66,9.87
10.03,8.78
8.11,8.78
8.23,12.07
4.80,11.52
-16.31,11.52
-35.94,20.29
-34.60,20.84
-35.17,20.84
-35.57,18.65
-34.63,23.04
-35.20,20.84
-34.63,20.84
-34.49,20.29
-33.77,22.49
-34.60,22.49
-34.23,23.04
-33.11,23.04
-34.17,23.04
-33.94,24.13
-33.57,22.49
-34.20,23.04
-33.11,24.13
-33.60,24.68
-33.14,24.68
-31.66,26.88
-31.60,23.59
-31.69,25.78
-29.89,29.07
-31.86,26.33
-30.57,28.52
-27.80,25.23
-14.94,27.42
-27.29,24.68
30.51,14.26
27.23,12.62
26.71,12.62
22.40,12.07
26.14,11.52
24.60,11.52
23.06,11.52
21.77,10.42
20.63,10.97
21.54,10.97
18.57,11.52
19.91,10.42
17.09,11.52
18.60,10.97
17.14,9.87
17.23,10.42
19.37,9.87
18.71,10.97
16.91,12.07
18.57,9.87
15.94,9.32
18.03,10.42
17.03,10.42
15.03,9.87
16.83,10.42
17.06,10.42
16.63,10.97
14.91,10.97
13.63,9.87
11.54,9.32
16.06,10.42
13.31,9.87
12.11,10.42
11.80,9.32
12.66,9.32
11.74,10.42
9.29,8.78
13.11,10.42
11.29,11.52
7.17,12.07
13.74,8.78
8.60,9.87
5.83,10.97
-36.94,19.20
-34.77,18.65
-34.46,20.29
-35.06,21.94
-35.03,19.20
-34.80,20.29
-34.43,22.49
-33.91,23.59
-33.89,20.84
-34.46,21.39
-33.51,24.13
-33.46,23.59
-33.60,20.29
-33.29,21.39
-32.43,21.94
-32.66,21.94
-34.11,20.84
-31.89,23.59
-32.86,24.68
-31.66,24.13
-32.26,24.13
-31.66,24.68
-31.49,25.23
-30.71,25.23
-26.89,26.88
-22.43,25.23
26.09,13.16
28.23,12.07
23.77,12.62
22.00,12.62
22.57,12.07
23.63,12.07
21.86,10.42
23.09,10.97
21.37,9.87
19.89,12.07
19.49,10.42
17.60,9.87
16.06,12.62
17.23,10.97
17.54,12.07
18.71,10.97
17.14,10.97
16.97,11.52
13.94,9.32
16.63,9.87
15.40,11.52
16.43,10.42
14.97,9.87
13.86,10.97
12.83,11.52
16.40,10.42
16.11,8.78
13.77,9.32
13.31,11.52
11.26,8.78
14.57,9.87
11.89,10.42
10.63,9.87
7.80,10.42
11.66,9.87
11.37,10.42
11.46,10.42
10.77,11.52
7.69,12.62
3.94,8.78
-23.57,14.81
-35.71,20.29
-33.40,20.29
-34.23,18.10
-34.69,19.75
-33.17,20.84
-33.51,20.84
-34.06,21.94
-32.80,21.39
-32.49,22.49
-33.86,21.39
-32.74,22.49
-33.09,21.39
-32.60,23.04
-33.03,21.94
-32.29,23.04
-32.43,21.94
-31.77,23.04
-31.57,24.13
-32.54,24.13
-31.11,24.13
-32.34,25.23
-30.34,22.49
-27.20,25.78
-30.46,26.33
-21.74,28.52
-24.91,26.88
37.00,10.42
26.86,13.71
24.71,12.62
24.83,12.62
22.94,12.07
21.60,12.62
22.94,11.52
21.40,12.07
20.54,10.42
21.31,10.97
19.74,11.52
18.14,10.97
18.43,10.97
17.17,9.87
17.06,10.42
18.14,11.52
15.83,9.87
16.29,10.97
17.11,9.32
18.51,10.42
14.31,10.42
15.37,10.42
16.94,10.42
14.91,11.52
16.83,10.97
14.09,9.87
14.14,10.97
15.37,10.97
16.14,10.42
13.14,9.87
10.77,10.42
12.26,10.42
8.89,9.32
13.63,10.42
9.80,10.97
13.34,9.32
12.54,9.87
11.31,9.32
9.86,10.97
9.97,9.87
9.57,12.62
3.66,11.52
10.20,8.78
6.51,9.32
0.49,11.52
-37.57,19.20
-34.14,20.29
-34.00,20.29
-33.94,18.65
-33.80,20.84
-33.37,20.84
-33.46,23.59
-33.49,21.94
-33.29,21.94
-32.91,22.49
-33.66,20.84
-33.00,23.04
-32.69,21.94
-32.83,23.04
-32.51,23.59
-32.57,24.13
-32.37,24.68
-32.43,23.59
-31.91,24.68
-31.40,23.04
-31.43,23.59
-30.17,21.94
-30.34,25.78
-31.80,25.78
-29.74,25.23
-27.14,24.13
33.00,12.62
27.03,11.52
24.14,13.71
24.94,11.52
25.11,12.07
23.14,11.52
21.26,10.42
21.14,9.87
21.60,10.42
19.94,10.42
20.80,10.42
16.97,10.42
16.69,9.87
18.20,10.42
16.71,9.32
17.74,9.87
18.74,9.32
15.83,9.32
16.71,10.97
15.69,10.42
15.71,10.42
16.11,10.97
14.63,10.42
16.06,9.87
15.40,11.52
14.77,10.42
14.66,10.42
13.54,10.97
13.66,9.87
11.43,9.32
11.11,11.52
13.97,11.52
11.57,10.42
12.89,10.97
12.71,9.32
11.29,10.42
10.80,8.78
11.69,10.42
11.91,10.42
10.34,10.97
1.03,10.97
-34.71,20.29
-33.94,19.75
-34.49,23.59
-33.49,19.75
-34.60,21.39
-34.69,20.29
-33.69,21.39
-34.20,21.94
-33.66,21.39
-34.20,20.29
-33.89,21.94
-33.26,22.49
-33.34,22.49
-33.40,24.13
-33.94,21.94
-33.69,20.84
-32.94,26.33
-31.57,23.04
-32.57,24.13
-32.14,24.68
-31.31,23.59
-29.63,25.78
-30.37,26.33
-30.14,27.42
-26.46,26.33
-28.06,25.23
-18.06,21.94
27.03,13.71
23.74,10.42
26.17,12.62
24.60,12.07
24.00,11.52
23.26,10.97
22.69,10.97
21.43,10.42
21.43,9.87
20.89,8.78
19.54,10.97
17.54,10.42
19.09,10.97
16.63,10.42
18.06,10.97
17.66,11.52
17.51,9.87
16.71,9.87
17.43,10.42
15.46,10.42
16.60,11.52
16.63,9.32
15.23,10.97
16.71,9.87
14.29,10.97
14.34,10.42
15.14,10.42
13.11,9.87
14.51,10.42
11.46,10.42
13.37,8.78
11.91,9.87
12.77,11.52
11.71,9.87
11.20,10.42
9.14,9.87
10.46,11.52
9.00,9.32
12.54,8.78
5.51,9.32
-5.03,11.52
-34.97,21.94
-34.66,22.49
-34.51,20.84
-34.63,22.49
-33.37,21.94
-34.66,21.94
-34.54,20.84
-34.26,20.84
-34.26,21.94
-34.23,23.04
-33.46,22.49
-33.69,23.04
-33.57,23.04
-33.26,23.04
-32.74,24.13
-33.63,20.29
-32.00,24.68
-33.17,23.04
-31.97,24.68
-32.60,23.59
-30.57,25.23
-31.94,25.78
-29.97,25.78
-27.66,26.33
-28.23,25.23
8.34,20.29
26.29,12.07
26.54,12.07
23.77,12.62
22.46,13.16
23.60,11.52
23.37,10.42
23.34,9.87
19.60,10.42
20.00,10.42
19.80,10.42
19.97,9.87
19.26,9.87
17.14,10.42
18.46,11.52
16.83,10.42
17.03,11.52
16.69,10.97
16.94,9.32
16.57,12.07
16.69,10.42
16.20,9.87
16.06,11.52
15.09,10.97
15.49,9.32
14.97,9.87
14.26,11.52
15.46,10.97
12.34,9.87
15.03,10.97
14.69,9.87
12.00,10.42
12.09,10.42
9.57,10.97
11.43,8.78
12.66,10.97
10.49,8.23
8.89,10.42
4.31,9.32
-24.14,14.81
-34.74,20.29
-33.94,19.20
-33.91,21.94
-34.43,19.20
-34.74,19.75
-33.77,21.39
-34.06,22.49
-32.89,25.23
-33.91,20.29
-33.00,22.49
-33.71,23.59
-33.29,23.59
-33.46,23.04
-33.00,24.13
-32.71,21.94
-32.83,21.39
-31.83,24.13
-31.69,25.78
-29.89,24.68
-31.26,24.68
-28.37,26.33
-28.89,25.23
-28.34,24.68
-29.74,25.23
31.83,13.16
30.60,11.52
27.29,12.62
24.54,11.52
23.49,11.52
23.86,11.52
21.97,11.52
20.20,10.97
18.91,10.97
17.91,10.97
18.06,10.42
16.17,10.97
15.60,10.42
15.91,10.97
12.09,11.52
12.34,12.07
