
,2.19
23.71,2.74
23.20,2.19
22.49,2.74
23.86,2.74
23.69,2.74
22.80,2.74
23.94,3.29
23.57,2.19
23.31,2.74
23.14,2.74
23.00,2.74
23.57,2.74
23.11,3.29
23.26,2.74
23.34,2.74
22.46,2.74
24.03,3.29
22.94,2.74
22.66,2.74
22.66,3.29
21.86,3.29
22.46,2.74
22.77,2.74
22.34,2.74
23.11,2.74
22.94,2.74
23.03,3.29
22.86,2.74
21.97,2.74
21.94,3.29
21.57,3.84
20.97,3.84
20.37,4.94
20.14,3.84
20.03,3.84
20.57,3.84
18.29,4.39
15.86,6.03
15.26,7.13
15.43,7.13
-23.60,0.55
-20.40,0.00
-18.20,-0.55
-17.43,-1.10
-16.60,-1.65
-15.91,-2.19
-16.06,-2.19
-15.94,-1.65
-15.91,-1.65
-15.54,-2.19
-16.00,-2.19
-15.91,-1.65
-15.51,-2.19
-15.11,-1.65
-15.37,-1.65
-15.11,-1.65
-15.63,-1.65
-15.26,-1.65
-15.23,-2.19
-15.34,-1.65
-15.69,-1.65
-15.06,-1.65
-15.31,-1.65
-14.97,-2.19
-15.14,-2.19
-15.83,-2.19
-15.17,-1.65
-15.69,-2.74
-15.29,-2.19
-15.17,-2.19
-15.43,-2.19
-15.26,-1.65
-15.51,-1.65
-15.77,-2.19
-15.03,-1.65
-15.31,-2.19
-15.14,-1.65
-15.51,-2.19
-15.29,-1.65
-15.54,-2.19
-15.34,-1.65
-15.26,-1.65
-15.09,-2.74
-15.54,-2.19
-14.91,-1.65
-15.29,-2.19
-15.46,-2.19
-15.31,-2.19
-15.17,-1.65
-15.23,-1.10
-15.40,-2.19
-15.06,-1.65
-14.89,-2.19
-15.14,-1.65
-14.94,-1.65
-14.97,-2.19
-14.97,-2.19
-14.89,-1.65
-14.83,-2.19
-14.71,-1.65
-14.34,-1.65
-13.74,-1.65
-13.60,-1.65
-12.40,-2.74
-9.69,-1.65
-4.69,-1.65
-11.14,-2.19
-8.63,-2.74
6.63,-1.10
24.11,3.29
24.14,2.74
24.37,2.74
23.91,2.74
23.37,2.74
23.91,2.74
23.77,2.74
24.06,2.74
23.40,2.74
23.40,2.74
23.14,2.74
23.69,2.74
23.97,3.29
23.29,2.19
23.29,2.74
23.11,2.74
23.49,2.74
22.69,2.74
23.00,3.29
23.63,3.29
23.37,2.74
23.40,2.74
23.14,3.29
22.54,3.29
21.89,2.74
22.66,2.74
23.06,2.19
22.23,2.74
23.51,3.29
22.20,2.74
22.11,3.29
22.69,3.29
21.97,3.29
22.34,3.29
22.14,2.74
22.23,2.74
22.09,3.29
21.20,3.84
20.86,3.29
19.83,3.84
19.94,4.39
20.63,3.84
19.71,4.39
19.11,3.84
16.20,4.39
16.26,6.03
14.40,7.13
-26.03,1.65
-19.97,0.00
-18.97,-0.55
-17.60,-1.65
-16.60,-1.10
-16.46,-1.65
-15.97,-2.19
-15.86,-1.10
-16.14,-1.65
-15.43,-1.10
-15.63,-2.19
-15.46,-2.19
-15.46,-2.19
-15.40,-1.65
-15.43,-1.65
-15.20,-1.65
-15.66,-1.65
-15.03,-1.10
-15.60,-2.19
-15.26,-1.65
-14.86,-1.65
-15.14,-2.19
-15.37,-1.65
-15.17,-2.19
-15.06,-2.19
-15.40,-2.19
-15.34,-1.65
-15.54,-2.19
-15.40,-2.19
-15.37,-1.65
-15.20,-2.19
-15.57,-1.65
-15.26,-1.65
-14.71,-1.65
-15.14,-2.19
-15.37,-1.65
-15.23,-1.65
-15.43,-1.65
-15.20,-2.19
-15.29,-1.65
-15.14,-2.19
-14.74,-1.65
-15.20,-1.65
-15.06,-1.65
-15.31,-2.19
-15.60,-2.19
-15.06,-1.65
-15.06,-1.65
-15.14,-1.65
-15.09,-1.65
-14.66,-1.65
-15.11,-2.19
-15.20,-1.65
-15.03,-2.74
-14.57,-2.19
-14.89,-2.19
-15.03,-2.19
-14.91,-1.65
-15.49,-2.19
-15.20,-2.74
-14.34,-1.65
-14.26,-2.19
-14.00,-1.65
-13.66,-2.19
-11.83,-2.74
-10.37,-1.65
-9.66,-2.19
-6.89,-1.65
-8.09,-1.10
-8.74,-2.19
0.06,0.00
24.11,4.94
23.97,2.74
23.34,2.74
23.49,2.74
23.31,3.29
22.91,2.74
23.43,2.74
24.14,3.29
23.20,2.74
23.57,2.74
23.29,2.74
23.23,2.74
23.66,2.74
22.94,2.74
23.40,2.74
22.91,2.74
22.77,2.74
23.60,2.74
23.34,2.74
23.09,2.74
22.97,2.74
22.94,2.19
23.26,2.74
22.49,2.74
23.17,3.29
22.66,3.29
22.54,2.74
22.26,3.29
22.74,3.84
21.94,3.29
22.31,2.74
22.69,3.29
22.37,3.29
22.34,3.29
21.80,2.19
22.37,2.74
22.60,3.29
21.29,2.74
21.66,2.74
20.77,3.29
20.86,3.84
19.40,3.84
19.00,3.84
20.29,3.84
19.26,3.84
17.06,4.39
16.94,5.48
15.63,6.58
13.63,7.68
-23.31,0.55
-19.17,-0.55
-17.40,-1.10
-17.09,-1.65
-16.49,-1.10
-16.11,-2.19
-15.71,-2.19
-15.14,-1.10
-15.46,-1.65
-14.80,-1.65
-15.17,-2.19
-15.57,-2.19
-15.77,-1.65
-15.06,-1.65
-15.37,-1.65
-15.17,-2.19
-15.11,-1.65
-15.14,-2.19
-14.34,-2.19
-15.34,-1.65
-15.34,-1.65
-14.77,-1.65
-15.20,-1.65
-14.77,-2.19
-14.94,-1.10
-14.97,-1.65
-15.11,-2.19
-14.94,-1.65
-15.46,-1.65
-15.03,-2.19
-15.20,-1.65
-15.06,-2.19
-15.43,-1.65
-14.83,-2.74
-15.09,-1.65
-14.77,-1.10
-15.03,-2.19
-15.09,-1.65
-15.14,-1.65
-14.89,-1.65
-15.23,-1.65
-14.83,-2.19
-15.29,-2.19
-14.80,-2.19
-14.74,-1.65
-15.06,-2.19
-14.97,-1.65
-15.14,-2.19
-14.89,-1.65
-14.71,-2.19
-14.86,-1.10
-14.66,-1.65
-15.03,-2.19
-14.86,-2.19
-15.09,-2.74
-14.89,-1.65
-14.91,-1.65
-15.14,-2.19
-14.31,-2.19
-15.23,-1.65
-14.54,-2.19
-13.71,-1.65
-13.86,-2.19
-13.37,-2.19
-10.80,-2.19
-8.97,-1.65
-10.20,-2.19
-9.91,-2.19
-7.80,-1.65
-4.91,-1.10
0.31,0.55
8.57,0.00
24.40,2.74
24.00,2.19
23.11,2.74
23.74,2.74
23.46,2.74
22.80,2.19
23.23,2.74
23.29,2.74
23.34,2.74
23.51,2.74
23.31,2.74
23.26,2.74
24.11,2.74
23.71,3.29
23.34,2.74
23.09,2.74
23.23,2.74
22.83,2.74
23.69,2.74
22.69,2.74
22.94,2.74
23.17,3.29
22.74,2.74
23.54,3.29
22.77,2.74
22.40,2.74
23.37,2.74
22.46,3.29
22.46,3.29
22.40,2.74
22.74,2.74
22.66,3.29
23.17,3.29
22.40,2.74
23.11,2.74
22.29,2.74
22.06,3.29
21.77,3.84
21.37,3.84
21.43,3.84
19.26,4.39
20.66,3.84
20.31,4.94
19.94,3.29
17.29,4.39
16.77,6.03
13.86,6.58
13.09,7.68
-25.11,0.55
-21.43,-0.55
-18.17,-1.10
-17.26,-1.10
-16.66,-2.19
-16.29,-2.19
-15.83,-1.65
-15.94,-1.65
-15.97,-2.19
-15.37,-1.65
-15.71,-2.19
-16.09,-2.19
-15.71,-1.65
-15.54,-2.19
-15.71,-2.19
-15.60,-1.65
-15.34,-2.19
-15.31,-2.19
-15.20,-2.19
-15.66,-2.19
-15.83,-2.19
-15.69,-1.65
-15.74,-2.19
-15.26,-1.65
-15.11,-1.65
-15.14,-2.19
-15.71,-1.65
-15.60,-1.65
-15.46,-2.19
-15.49,-1.65
-15.26,-1.65
-15.23,-2.19
-15.54,-2.19
-15.63,-1.65
-15.23,-2.19
-15.31,-2.19
-15.60,-1.65
-15.46,-2.19
-15.60,-1.65
-15.26,-2.19
-15.49,-2.19
-15.29,-2.74
-15.43,-1.10
-15.37,-1.65
-15.57,-1.65
-15.71,-2.19
-15.23,-1.65
-15.63,-1.65
-15.69,-1.65
-15.66,-2.19
-15.43,-2.74
-15.66,-1.65
-15.46,-1.65
-14.91,-2.19
-15.40,-1.65
-15.17,-1.65
-15.43,-1.65
-15.09,-2.19
-15.23,-2.19
-14.94,-2.19
-14.43,-1.65
-14.34,-2.74
-12.97,-3.84
-9.03,-2.74
-10.97,-2.19
-8.00,-1.10
-5.83,-1.10
-9.57,-1.10
-0.77,-1.10
24.31,4.39
24.77,2.74
24.66,3.29
24.57,2.74
23.57,2.74
24.14,2.74
23.60,2.19
24.66,2.74
23.80,2.19
24.20,3.29
23.63,3.29
23.40,2.19
24.06,2.74
23.89,2.74
23.06,2.19
23.69,3.29
23.97,3.29
23.86,3.29
24.00,2.74
23.20,3.29
23.46,3.29
23.37,2.74
23.09,2.19
22.60,3.29
23.46,3.29
23.31,3.29
23.06,3.29
23.17,3.29
23.40,3.29
23.54,3.29
23.20,3.29
22.31,3.29
23.80,3.29
23.43,3.29
23.11,3.29
23.26,3.84
22.37,3.84
21.71,3.84
22.43,3.84
20.43,3.84
19.60,4.39
20.46,4.39
19.29,3.29
19.03,4.39
17.26,6.58
15.23,6.58
15.37,7.13
14.06,8.23
-24.77,1.65
-21.80,0.00
-19.03,-0.55
-18.06,-1.65
-16.94,-1.65
-16.91,-1.65
-16.43,-1.65
-16.11,-1.65
-16.14,-2.19
-15.77,-1.65
-15.74,-1.65
-15.89,-2.19
-15.89,-2.19
-15.54,-1.65
-16.00,-1.65
-15.86,-2.19
-15.91,-1.65
-15.60,-2.19
-15.80,-2.19
-15.63,-2.74
-15.49,-2.19
-15.63,-2.74
-15.69,-2.74
-15.49,-2.19
-15.69,-2.19
-15.31,-2.19
-15.37,-1.65
-15.23,-1.65
-15.29,-1.65
-15.40,-2.19
-15.09,-2.19
-15.80,-2.19
-15.54,-2.74
-15.66,-2.19
-16.17,-2.19
-15.60,-1.65
-15.80,-2.19
-16.06,-2.19
-15.60,-1.65
-15.51,-1.65
-16.03,-2.19
-15.77,-2.19
-15.49,-1.65
-15.74,-2.19
-15.49,-2.74
-15.74,-2.19
-15.51,-1.65
-15.54,-1.65
-15.66,-2.19
-15.57,-2.19
-15.51,-2.19
-15.03,-2.19
-15.60,-2.19
-15.49,-1.65
-15.51,-1.65
-15.34,-1.65
-15.20,-1.65
-15.34,-2.19
-15.26,-1.65
-14.54,-2.74
-14.34,-2.74
-13.60,-2.19
-11.69,-2.74
-9.60,-1.65
-10.49,-1.10
-10.17,-1.65
-7.97,-2.19
-5.77,-1.65
0.66,0.00
25.29,2.74
24.23,2.74
23.14,2.74
23.57,2.74
24.14,2.74
24.34,3.29
23.80,2.74
23.71,2.74
24.49,2.74
24.03,3.29
23.66,3.29
24.14,3.29
24.29,3.29
23.71,2.74
25.03,3.29
24.03,2.74
23.83,2.74
24.17,3.29
22.94,2.74
23.80,2.74
23.00,2.74
22.69,2.74
23.11,3.29
23.54,3.29
23.91,3.29
22.74,3.29
23.17,3.29
23.57,3.29
22.89,2.74
23.69,3.29
22.91,3.29
22.31,3.29
22.97,3.84
23.71,3.29
22.00,2.74
23.17,3.29
21.97,3.29
22.20,3.84
20.66,3.29
19.83,4.94
20.60,4.39
19.40,3.84
19.51,4.39
17.60,5.48
15.74,5.48
14.69,7.68
-29.29,2.19
-22.11,0.00
-18.86,-0.55
-17.46,-1.10
-17.29,-1.65
-16.51,-1.10
-16.29,-1.10
-16.31,-1.65
-16.23,-1.65
-15.89,-2.74
-15.89,-1.65
-15.83,-2.19
-15.86,-1.65
-15.34,-2.19
-16.00,-2.19
-15.49,-1.65
-15.60,-2.19
-15.23,-2.19
-16.31,-2.19
-15.54,-2.19
-15.26,-2.19
-15.74,-2.19
-15.37,-2.19
-15.69,-1.65
-15.63,-2.19
-15.34,-1.65
-15.03,-1.65
-15.71,-2.19
-15.91,-2.19
-15.49,-2.19
-15.89,-1.10
-15.03,-2.19
-15.77,-2.19
-15.66,-2.19
-15.66,-2.19
-15.51,-2.19
-15.29,-2.19
-15.71,-1.10
-15.40,-1.65
-15.51,-2.19
-15.23,-2.19
-15.11,-2.19
-15.51,-2.19
-15.57,-2.74
-15.66,-2.74
-15.43,-2.74
-15.09,-2.19
-15.54,-1.65
-15.40,-2.19
-15.46,-1.10
-14.97,-2.74
-15.14,-2.74
-15.77,-2.19
-15.60,-1.65
-15.14,-1.65
-15.14,-2.19
-15.14,-2.19
-15.17,-1.65
-15.17,-2.19
-14.03,-2.19
-14.60,-2.19
-14.06,-1.65
-13.23,-2.19
-9.20,-2.19
-10.09,-1.10
-10.17,-1.65
-7.40,0.00
-5.63,0.55
-8.86,-0.55
-11.91,-1.10
-1.20,0.00
27.83,2.74
23.09,3.29
24.34,2.74
23.86,2.74
24.29,2.74
23.74,2.74
24.34,2.19
23.77,3.29
23.60,2.19
23.77,2.19
23.09,2.74
23.43,2.74
23.23,3.29
24.37,3.29
23.26,2.74
24.03,2.74
22.97,2.19
23.37,2.74
23.71,2.74
23.03,2.74
23.40,2.74
23.83,2.74
23.26,2.74
23.63,2.74
23.60,3.29
24.06,3.29
22.83,2.74
22.83,2.74
22.63,2.74
23.17,3.29
22.74,3.29
23.17,3.29
23.00,2.74
23.17,3.29
22.86,2.74
23.43,2.74
22.49,3.29
22.03,3.29
21.83,3.84
20.06,3.84
19.86,4.39
20.00,3.84
20.97,3.84
19.91,4.39
18.09,4.94
16.89,5.48
13.66,6.58
13.26,7.13
-24.37,1.10
-20.20,0.00
-18.43,-1.10
-17.51,-1.10
-16.46,-0.55
-16.31,-2.19
-16.31,-2.19
-16.23,-2.19
-15.91,-2.19
-16.17,-2.19
-16.03,-1.65
-15.49,-2.19
-15.29,-1.65
-16.00,-2.19
-15.60,-1.65
-15.26,-1.65
-15.34,-1.65
-15.31,-2.19
-15.66,-1.65
-15.49,-2.19
-15.17,-2.19
-14.91,-1.65
-15.40,-2.19
-15.49,-1.65
-15.46,-1.65
-15.57,-2.19
-15.34,-2.19
-15.31,-1.65
-15.57,-1.65
-15.57,-1.65
-15.40,-2.19
-15.09,-2.19
-15.60,-1.65
-15.09,-2.19
-15.43,-2.19
-15.23,-2.19
-15.34,-1.65
-15.60,-2.19
-15.03,-1.65
-15.51,-2.19
-15.49,-1.65
-15.63,-2.74
-15.54,-2.19
-15.46,-2.19
-15.29,-1.65
-15.51,-1.65
-15.34,-3.29
-15.31,-2.19
-15.03,-1.65
-15.43,-1.65
-14.83,-2.19
-14.94,-2.19
-15.49,-2.19
-15.26,-1.65
-14.97,-1.65
-15.31,-2.19
-14.97,-1.65
-15.06,-2.19
-15.17,-2.19
-15.03,-2.19
-14.37,-2.19
-13.77,-1.65
-13.43,-2.74
-10.77,-1.65
-8.14,-2.74
-9.34,-1.65
-10.00,-1.65
-4.86,-1.10
-7.26,-1.10
-8.60,-2.19
-3.17,0.00
28.71,3.84
24.06,2.74
23.83,2.74
23.40,2.74
23.66,2.19
23.31,2.74
24.31,2.74
23.26,1.65
23.06,2.19
24.06,3.29
23.37,2.74
24.23,2.19
23.94,3.29
23.03,3.29
23.63,2.74
23.31,2.74
22.69,2.74
23.03,2.74
24.43,3.29
23.40,2.74
23.74,2.74
22.80,2.74
22.94,3.29
22.77,3.29
22.43,2.74
23.20,3.29
22.94,2.74
22.80,3.29
22.03,3.29
22.51,3.29
22.51,3.29
22.31,3.29
22.80,3.29
22.83,2.74
22.31,2.74
22.29,3.29
22.74,3.29
22.26,3.84
21.94,3.29
20.89,3.84
19.37,3.84
19.66,4.39
20.06,4.39
19.86,4.39
18.11,4.39
16.74,4.94
15.23,6.03
14.06,7.13
12.74,8.78
-26.31,1.65
-21.31,0.55
-19.00,-0.55
-17.49,-1.65
-16.80,-1.10
-16.40,-1.10
-15.86,-1.65
-16.06,-1.65
-15.57,-1.65
-16.00,-1.65
-15.63,-1.65
-15.57,-1.65
-15.34,-1.65
-15.20,-2.19
-15.23,-1.65
-15.46,-1.65
-15.74,-1.65
-15.69,-2.74
-15.29,-1.65
-15.57,-2.74
-15.17,-2.74
-15.31,-1.65
-15.66,-2.19
-15.49,-1.65
-14.91,-2.19
-15.63,-1.65
-14.97,-1.65
-15.74,-1.10
-15.00,-2.19
-15.77,-2.19
-15.26,-2.19
-15.11,-2.19
-15.69,-1.10
-15.14,-2.19
-15.51,-1.65
-15.57,-1.65
-15.14,-2.19
-15.46,-1.65
-15.31,-2.19
-15.26,-1.65
-15.09,-1.65
-15.17,-2.19
-15.09,-2.19
-15.57,-2.19
-14.97,-1.65
-15.51,-2.19
-15.29,-2.19
-15.74,-1.65
-14.83,-1.65
-15.34,-1.65
-15.26,-1.65
-14.94,-2.74
-15.31,-2.19
-15.14,-1.65
-15.09,-2.74
-15.11,-1.65
-15.43,-2.19
-15.17,-2.19
-15.00,-2.19
-15.06,-2.19
-14.63,-2.19
-14.40,-2.74
-13.69,-2.19
-11.37,-1.65
-7.54,-1.65
-8.49,-2.19
-10.83,-1.65
-7.26,-1.65
-9.17,-1.65
-5.31,-2.19
-4.54,-1.65
9.91,3.29
24.14,3.29
23.20,2.74
23.09,2.19
23.49,2.74
23.89,2.74
23.49,2.74
24.06,2.74
23.71,2.74
23.34,2.74
22.89,2.19
23.77,2.74
23.49,2.19
23.80,2.19
23.11,2.74
23.49,3.29
22.86,2.19
22.83,2.74
23.43,2.74
23.66,2.74
23.94,2.74
22.97,3.29
22.80,2.74
22.94,2.74
22.89,3.29
22.89,2.74
21.94,3.29
22.51,3.29
22.51,3.29
22.00,3.29
22.60,2.74
22.74,3.29
22.23,2.74
22.46,2.74
22.49,2.74
22.94,2.74
22.97,3.29
22.00,3.29
21.83,3.84
20.66,3.84
20.20,3.84
19.51,3.84
20.77,3.84
20.40,3.84
20.43,4.39
16.34,4.94
15.37,6.03
14.71,7.13
-22.69,0.55
-20.06,-0.55
-18.14,-1.10
-16.86,-1.10
-16.69,-1.65
-15.60,-2.19
-16.14,-2.19
-15.80,-1.65
-15.66,-2.19
-15.31,-2.19
-15.06,-2.19
-15.60,-1.65
-15.34,-1.65
-15.14,-1.65
-15.17,-2.19
-15.49,-2.19
-15.49,-2.19
-15.49,-1.65
-15.37,-2.19
-15.14,-2.19
-15.26,-2.19
-15.49,-2.19
-15.51,-2.19
-15.37,-2.19
-15.06,-2.19
-15.46,-1.65
-15.06,-1.65
-15.00,-2.19
-15.46,-1.65
-15.31,-2.74
-15.00,-2.19
-15.34,-1.65
-15.37,-2.19
-15.26,-2.19
-15.00,-1.10
-15.63,-1.65
-14.94,-2.74
-15.20,-2.19
-15.37,-2.19
-15.34,-1.65
-15.20,-2.19
-15.69,-2.19
-15.46,-2.19
-15.49,-1.65
-15.31,-1.65
-15.14,-2.19
-14.97,-1.65
-15.20,-1.65
-14.97,-1.65
-15.11,-1.65
-15.26,-2.19
-15.20,-2.19
-14.80,-1.65
-15.29,-2.19
-15.03,-1.65
-15.06,-2.19
-14.97,-1.65
-14.71,-1.65
-15.11,-1.65
-14.60,-1.65
-14.37,-2.19
-14.17,-2.74
-13.26,-1.65
-11.54,-1.65
-10.09,-3.29
-8.46,-1.65
-9.23,-2.19
-7.11,-1.10
-9.03,-2.19
-5.94,-1.65
12.46,1.65
23.91,2.74
23.31,2.74
24.00,2.74
23.91,2.19
23.29,2.74
23.94,2.74
23.11,2.19
23.63,2.74
22.74,2.74
24.03,2.74
22.91,2.74
23.37,2.74
23.80,2.19
23.03,3.29
22.80,2.19
22.71,2.74
23.51,2.74
22.71,2.74
22.60,2.74
22.71,2.74
22.49,2.74
23.03,2.19
22.03,2.19
22.63,2.74
22.51,2.74
23.03,3.29
22.06,2.74
22.34,2.74
23.03,3.29
22.77,2.74
21.77,2.74
21.63,3.29
21.89,3.29
22.29,3.29
22.09,2.74
22.09,3.29
22.89,2.74
21.37,3.29
20.66,2.74
21.03,3.29
19.94,3.84
19.29,3.84
20.49,3.84
20.60,3.84
17.86,4.94
14.74,6.03
15.86,6.58
-30.54,1.65
-19.60,0.00
-19.11,-0.55
-17.43,-0.55
-16.83,-1.10
-16.40,-1.65
-15.74,-2.19
-15.80,-1.65
-15.40,-1.65
-15.66,-2.19
-15.69,-2.19
-15.69,-1.65
-15.63,-1.65
-15.23,-2.19
-15.00,-2.19
-15.14,-1.65
-15.26,-1.65
-14.89,-2.19
-15.46,-1.65
-15.54,-2.19
-15.26,-1.10
-15.29,-2.19
-15.40,-1.10
-15.29,-2.19
-15.20,-1.10
-14.86,-2.19
-15.31,-2.19
-14.89,-2.19
-15.14,-2.74
-15.20,-2.19
-14.91,-1.65
-15.34,-2.19
-14.91,-1.65
-15.09,-2.19
-15.14,-2.19
-14.97,-1.65
-14.97,-1.65
-15.17,-2.19
-15.31,-1.65
-15.43,-1.65
-15.34,-1.65
-15.09,-1.65
-15.09,-2.19
-15.23,-1.65
-15.60,-1.65
-15.14,-2.19
-14.83,-1.65
-15.23,-2.19
-15.00,-2.19
-15.17,-1.65
-14.80,-2.19
-14.91,-1.10
-14.66,-2.19
-14.89,-1.65
-15.20,-2.74
-14.66,-2.19
-15.00,-1.10
-15.03,-2.19
-14.86,-2.19
-15.06,-2.74
-14.26,-2.19
-14.51,-2.19
-13.91,-2.19
-13.29,-1.65
-11.71,-3.29
-9.09,-2.19
-8.43,-1.65
-9.71,-1.65
-1.89,0.00
16.66,2.74
23.71,3.29
23.43,2.19
23.57,2.74
22.69,2.19
23.91,3.29
22.63,2.19
23.60,2.74
23.23,2.74
22.97,2.74
22.66,2.74
23.83,2.74
23.31,2.74
22.86,2.74
22.97,2.19
22.97,3.29
23.06,3.29
23.26,2.74
22.63,3.29
23.23,2.74
23.26,2.74
22.94,2.74
22.43,2.74
22.83,2.74
22.37,2.74
22.60,2.74
22.66,2.74
22.66,2.74
22.54,3.29
21.89,2.74
22.54,3.29
22.23,2.74
22.31,3.29
22.40,3.29
22.74,3.29
23.14,2.74
21.31,3.29
21.57,3.29
21.89,3.29
20.23,3.84
18.69,4.39
19.91,4.39
19.51,3.84
20.14,3.84
18.03,4.94
16.34,4.94
15.09,6.58
4.60,0.55
-22.86,-0.55
-19.00,-0.55
-17.80,-1.10
-16.77,-1.65
-16.26,-1.65
-15.97,-1.10
-15.49,-1.10
-15.51,-1.65
-15.80,-2.19
-15.57,-2.19
-14.89,-2.19
-15.60,-1.65
-15.57,-1.65
-15.29,-2.19
-15.37,-2.19
-15.57,-1.65
-15.54,-2.19
-15.20,-2.19
-15.17,-1.65
-15.20,-2.19
-15.26,-1.10
-15.14,-1.65
-15.29,-1.65
-15.09,-2.19
-14.60,-2.19
-15.17,-1.65
-14.86,-2.19
-15.34,-1.65
-14.97,-2.19
-15.34,-1.65
-14.83,-1.10
-15.11,-1.65
-15.31,-2.19
-14.97,-2.19
-15.11,-2.19
-15.34,-2.19
-15.37,-1.65
-15.23,-1.65
-15.20,-1.10
-14.86,-1.10
-15.00,-1.65
-15.14,-1.65
-15.11,-2.19
-15.14,-2.19
-15.03,-2.19
-14.94,-1.65
-15.09,-1.65
-14.89,-1.65
-14.66,-2.19
-15.00,-1.65
-14.80,-1.65
-15.09,-1.65
-14.69,-1.65
-15.00,-1.65
-15.03,-1.65
-15.17,-2.19
-14.71,-2.19
-15.34,-2.74
-14.97,-1.10
-14.31,-2.19
-14.31,-2.19
-13.51,-1.65
-13.00,-2.19
-13.51,-2.19
-11.06,-2.74
-8.37,-1.65
-8.54,-0.55
-8.54,-1.65
-9.54,-1.65
-9.80,-1.65
-5.14,-2.19
6.29,0.55
24.11,3.29
23.43,2.74
23.40,2.74
23.63,2.74
23.17,2.19
22.97,2.74
23.20,2.19
23.34,2.74
22.86,2.74
22.80,2.74
22.86,2.74
22.91,2.19
23.17,2.74
22.31,2.74
23.54,2.74
23.17,2.74
23.51,2.74
22.54,2.74
23.46,2.74
22.77,3.29
22.63,2.74
22.51,2.74
22.46,2.74
22.54,2.74
22.97,3.29
22.86,2.74
22.09,2.74
22.37,2.74
22.91,2.74
22.69,2.74
22.49,2.74
21.49,2.74
22.03,3.29
22.63,3.29
22.60,3.29
22.03,3.29
22.46,3.29
21.06,3.29
21.74,3.29
20.11,3.29
20.71,3.84
19.86,3.84
19.94,4.39
19.69,3.84
19.54,3.84
17.54,5.48
15.43,5.48
14.00,5.48
12.23,2.74
-21.66,0.55
-19.06,-0.55
-17.97,-1.65
-16.03,-1.10
-15.57,-2.19
-16.31,-1.65
-15.66,-1.65
-15.54,-1.65
-15.40,-1.65
-15.91,-1.65
-15.63,-1.65
-15.06,-1.65
-15.26,-2.19
-15.37,-1.65
-15.17,-2.19
-14.94,-2.19
-15.17,-1.65
-14.97,-1.65
-14.80,-2.19
-15.11,-1.65
-14.97,-2.19
-15.06,-1.65
-14.74,-2.19
-15.00,-1.65
-15.06,-1.65
-14.94,-1.65
-15.03,-2.19
-14.97,-2.19
-15.31,-2.19
-14.43,-1.65
-14.74,-2.19
-15.43,-1.65
-15.03,-2.19
-15.03,-1.65
-15.26,-1.65
-15.11,-2.19
-15.03,-1.10
-15.06,-1.65
-15.34,-1.65
-15.00,-1.65
-15.20,-2.19
-15.57,-1.65
-15.17,-1.10
-15.31,-2.19
-14.86,-1.10
-15.14,-2.19
-14.94,-1.65
-14.89,-1.65
-15.00,-1.65
-15.09,-1.65
-14.66,-2.19
-14.60,-2.19
-14.86,-2.19
-14.63,-2.19
